"subsample","n_total","alpha","xmin","p","n_tail"
"858",84,3.23445130483581,5.812,0.403,31.498
"859",30,2.17537431383903,4.043,0.659,18.653
"86",139,2.06780369732482,3.078,0.716,72.609
"860",94,2.16171828682004,2.195,0.688,55.02
"861",123,2.25599795608435,3.977,0.424,57.324
"862",93,2.28155173003517,3.256,0.175,52.169
"863",108,2.36036383402268,3.942,0.094,51.351
"864",63,2.43862093213404,3.336,0.517,31.661
"865",10,2.19919588277922,1.879,0.83,8.3608040201005
"866",31,1.89468506794158,1.184,0.25,29.393
"867",71,2.37421347308742,4.312,0.017,35.049
"868",54,4.39248114043464,5.289,0.355,20.622
"869",139,2.1438099981526,3.853,0.617,68.1
"87",88,2.68730731256032,4.309,0.67,37.637
"870",88,2.41563126441813,4.209,0.643,40.329
"871",379,2.4953617644452,5.313,0.662,106.249
"872",78,2.44162117205985,4.749,0.66,33.845
"873",78,2.67450211295641,5.692,0.218,31.837
"874",25,2.63143262730532,2.864,0.146,15.432
"875",92,2.11521837980955,3.204,0.139,54.869
"876",92,1.97732490701805,3.091,0.096,51.841
"877",51,1.8849750302683,2.415,0.531,35.283
"878",22,2.73800157259531,5.544,0.092,12.77
"879",46,2.52000013195597,3.399,0.978,26.183
"88",379,2.03459011212909,3.46,0.407,173.348
"880",160,2.59511846072613,4.821,0.36,57.277
"881",29,2.24757428111303,3.797,0.446,18.112
"882",133,2.29381889835253,3.431,0.014,65.525
"883",55,2.61225288645829,3.954,0.577,26.655
"884",46,2.12198208458705,3.003,0.684,28.764
"885",66,2.06625988920619,2.147,0.352,42.323
"886",24,2.41614843051038,2.309,0.717,17.097
"887",84,2.46682727351845,3.074,0.172,45.858
"888",30,2.12503960989331,2.498,0.809,21.57
"889",94,2.31803195787649,3.953,0.933,45.165
"89",78,2.2257324763878,3.821,0.33,38.39
"890",123,2.58395307101144,4.974,0.156,48.459
"891",93,2.01670794391937,2.391,0.302,66.306
"892",108,2.59319730890879,5.502,0.028,41.788
"893",63,2.63896123020765,4.268,0.124,28.851
"894",10,2.68590980646837,3.205,0.793,7.28413654618474
"895",31,1.74722175846743,1.293,0.058,28.957
"896",71,2.09980235406515,2.351,0.343,45.382
"897",54,3.13026485164595,4.933,0.688,27.672
"898",139,2.26400463206378,3.989,0.235,58.753
"899",88,2.27303047845515,2.892,0.426,44.933
"9",46,4.24494521792962,5.017,0.666,17.125
"90",78,2.23542707830645,2.913,0.277,42.016
"900",379,2.22075632789862,3.428,0.009,176.575
"901",78,2.75618697256362,2.735,0.225,36.613
"902",78,2.26551007058967,3.072,0.313,41.386
"903",25,3.04626638622421,4.727,0.126,13.373
"904",92,2.06001071816357,2.362,0.196,65.002
"905",92,1.96624204511823,2.36,0.279,62.081
