"subsample","n_total","alpha","xmin","p","n_tail"
"229",13,1.71087331040018,1.711,0.68,11.9219219219219
"23",46,2.55080773603585,3.615,0.606,27.066
"230",18,2.37089226568369,2.341,0.283,13.089
"231",50,3.00008547581558,4.349,0.084,22.337
"232",8,1.88413513678623,1.27,0.692,7.62678375411636
"233",46,1.98871856969482,2.516,0.131,33.967
"234",26,2.73309735758783,2.238,0.151,17.012
"235",70,2.47899928208319,4.016,0.678,34.092
"236",13,2.90439108560333,3.87,0.515,9.104
"237",18,2.7838656191672,3.53,0.82,12.885
"238",50,4.46907455982635,4.888,0.58,19.252
